第37回東工大経済物理学セミナー(37th Workshop on Econophysics+Statistical Physics),,2016.11.03,,Eduardo Viegas (Imperial College London),,A Bayesian reconstruction approach to the history of banking in the United States,,./pdf/seminar/37th_Eduardo Viegas.pdf,,Taro Takaguchi (National Institute of Information and Communications Technology),,Recent topics in social temporal network analysis,,./pdf/seminar/37th_takaguchi.pdf,,Henrik Jeldtoft Jensen (Imperial College London),,Statistical mechanics of exploding phase spaces,,.pdf/seminar/37th_jensen.pdf
第36回東工大経済物理学セミナー(36th Workshop on Econophysics+Statistical Physics),,2016.05.28,,西成活裕（東京大学先端科学技術研究センター、東京大学大学院工学系研究科航空宇宙工学専攻）,,TBA,,,,田中将啓,,拡張待ち行列モデルを用いた対面窓口の通過時間に関する解析,,./pdf/seminar/拡張待ち行列モデルを用いた対面窓口の通過時間に関する解析_田中.pdf,,長尾晃貴,,実験とシミュレーションによる部分退出の解析,,./pdf/seminar/実験とシミュレーションによる部分退出の解析_長尾.pdf,,住山文隆,,車線数増加に伴う最大流量の非線形変化に関する解析,,./pdf/seminar/車線数増加に伴う最大流量の非線形変化に関する解析.pdf,,長濱章二,,車列変化に起因する運転挙動変化の追従モデルを用いた解析,,./pdf/seminar/車列変化に起因する運転挙動変化の追従モデルを用いた解析_長濱.pdf,,石川晴基,,回転浮遊液滴の大変形挙動の数理的解析,,./pdf/seminar/回転浮遊液滴の大変形挙動の数理的解析_石川.pdf,,FELICIANI Claudio,,Pedestrian bidirection flow a case study,,./pdf/seminar/Pedestrian_bidirectional_flow_-_a_case_study_Claudio.pdf,,室暁生,,階段関数を最適速度とする輸送システムの解析,,./pdf/seminar/階段関数を最適速度とする輸送システムの解析_室.pdf,,一木信吾, 佐藤純, 西成活裕,,隣接状態に依存する吸脱着機構を持つ完全非対称単純排他過程,,./pdf/seminar/隣接状態に依存する吸脱着機構を持つ完全非対称単純排他過程.pdf,,Julian Maluck (東工大準客員若手研究員、Potsdam Institute for Climate Impact Research (PIK)),,Industry topologies and motif control in the Japanese Business Firm Network,,
第35回東工大経済物理学セミナー(35th Workshop on Econophysics+Statistical Physics),,2015.05.09,,山田健太,,金融市場におけるディーラーモデルと板情報モデルの構築,,./pdf/seminar/35th_yamada.pdf,,佐野幸恵,,Econophysics in Social Media,,./pdf/seminar/35th_sano.pdf,,渡邊隼史,,ベンチャー企業でのソーシャルメディアデータの研究　―食の流行の 現状把握サービスを例に―,,./pdf/seminar/35th_watanabe.pdf,,山田健太,,大規模ソーシャルデータから観測される流行現象のモデル化,,
第34回東工大経済物理学セミナー(34th Workshop on Econophysics+Statistical Physics @Titech),,2014.11.08,,Luciano Pietronero (University of Rome Sapienza),,New Metrics for Economic Complexity: Measuring the Intangible Growth Potential of Countries,,./pdf/seminar/34th_Pietronero.pdf,,Didier Sornette (Swiss Federal Institute of Technology Zurich),,How Much is the Whole Really More than the Sum of its Parts? 1+1=2.5: Superlinear Productivity in Collective Group Actions and implications for organisation design,,./pdf/seminar/34th_Sornette.pdf,,
第33回東工大経済物理学セミナー(33rd Workshop on Econophysics+Statistical Physics @Titech),,2014.04.29,,Hirokazu Kawamoto (Tokyo Institute of Technology),,Numerical Percolation Study of a Japanese inter-firm trading network,,./pdf/seminar/33th_Kawamoto.pdf,,Eduardo Viegas(Imperial College London),,The dynamics of mergers and acquisitions: ancestry as the seminal determinant,,./pdf/seminar/33th_Eduardo.pdf,,Hiroki Suyari (Chiba University),,Mathematical structure behind Tsallis statistics<br>- from the fundamental nonlinear differential equation to the large deviation estimate- ,,./pdf/seminar/33th_Suyari.pdf,,Henrik Jeldtoft Jensen (Imperial College London),,Indicators and precursors of transitions in complex systems,,./pdf/seminar/33th_Jensen.pdf,,
第32回東工大経済物理学セミナー,,2012.11.24,,佐藤 和也 (東京工業大学 工学部 制御システム工学科),,ブログ書き込みモデルにおけるブーム形成と衰退のシミュレーションとその数理的解析,,./pdf/seminar/32th_Satou.pdf,,金澤 輝代士 (京都大学 基礎物理学研究所),,非熱的非ガウスゆらぎに駆動されるエネルギー輸送,,./pdf/seminar/32th_Kanazawa.pdf,,島田 尚 (東京大学大学院 工学系研究科 物理工学専攻),,株式市場の状態とその時間的遷移について,,./pdf/seminar/32th_Shimada.pdf
Constantino Tsallis教授による非加法的統計力学の講義+第31回東工大経済物理学セミナー,,2012.03.14,,Prof. Constantino Tsallis ( Department of Theoretical Physics, Head. Centro Brasileiro de Pesquisas Fisicas, National Institute of Science and Technology for Complex Systems, Head),,講義：『非加法的統計力学入門』“Introduction to nonextensive statistical mechanics”,,./pdf/seminar/31th_Tsallis1.pdf,,Prof. Constantino Tsallis (Department of Theoretical Physics, Head. Centro Brasileiro de Pesquisas Fisicas, National Institute of Science and Technology for Complex Systems, Head),,『非加法的統計力学の最近の成果』“Recent topics of nonextensive statistical mechanics”,,./pdf/seminar/31th_Tsallis2.pdf,,Koutaro Tamura (Tokyo Institute of Technology),,"Generalized gravity interaction model of business firms",,./pdf/seminar/31th_Tamura.pdf
第30回東工大経済物理学セミナー,,2010.08.28,,三浦 航 (東京工業大学 総合理工学研究科 知能システム科学専攻),,企業データから見える取引ネットワークの統計的性質とその成長の確率モデル,,./pdf/seminar/30th_Miura.pdf,,松下 貢 (中央大学 理工学部 教授),,複雑系の統計性 －社会物理学の門出に向けて－,,./pdf/seminar/30th_Matsushita.pdf,,翁 百合 (日本総合研究所理事, 日本学術会議会員),,金融危機とプルーデンス政策,,./pdf/seminar/30th_Okina.pdf
第29回東工大経済物理学セミナー,,2010.05.29,,久野 遼平(一橋大学 経済研究所 博士課程),,家電製品の販売数量の分布について,,./pdf/seminar/29th_D1_Hisano.pdf,,矢野 和男(日立製作所基礎研究所 主管研究長),,大量の組織データが拓く「組織のヘルスケア」,,./pdf/seminar/29th_Dr_Yano.pdf,,田口 善弘(中央大学 理工学部 教授),,エピジェネティックな遺伝情報発現データの生体生命情報学,,./pdf/seminar/29th_Dr_Taguchi.pdf
第28回東工大経済物理学セミナー,,2009.12.12,,渡辺 広太(東京工業大学 大学院総合理工学研究科 知能システム科学専攻),,高次PUCKを用いた金融市場の動力学効果の推定とその特性,,./pdf/seminar/28th_Watanabe.pdf,,渡部 敏明(一橋大学 経済研究所 教授),,Option Pricing Using Realized Volatility and ARCH Type Models,,./pdf/seminar/28th_Dr_Watanabe.pdf,,小田垣 孝(東京電機大学 理工学部 教授),,競争的社会における階級の自己組織化,,./pdf/seminar/28th_Dr_Odagaki.pdf
