5,,後藤隼人, 高安美佐子,,企業間取引ネットワークとそのシミュレーション----ネットワークの成長過程、輸送問題、および頑強性評価----,,オペレーションズ・リサーチ,,60(8),,,,456-462,,2015,,
4,,三浦航, 田村光太郎, 北島聡, 後藤隼人, 高安秀樹, 高安美佐子,,複雑ネットワーク上で観測される非線形輸送現象とそのパラメータ推定,,第18回交通流シミュレーションシンポジウム論文集,,,,,,,,2012,,http://traffic.phys.cs.is.nagoya-u.ac.jp/~mstf/pdf/mstf2012-10.pdf
3,,松永 健太, 山田 健太, 高安 秀樹, 高安 美佐子,,スプレッドディーラーモデルの構築とその応用,,人工知能学会論文誌,,27,,6,,365-375,,2012,,https://www.jstage.jst.go.jp/article/tjsai/27/6/27_365/_article/-char/ja/
2,,竹島由晃、福田健介、高安秀樹、高安美佐子,,コンピュータシミュレーションによるCSMA/CDアクセス方式ネットワークトラフィックの統計物理学的解析,,電気情報通信学会論文誌,,B/5月,,,,1-9,,2001,,
1,,高安美佐子,,インターネットの渋滞と相転移,,日本物理学会誌,,53,,5,,346-350,,1998,,
